BANANA  banana
MILK  miruku
ECO  eko
KIWI  kiwi
SIZE  saizu
QUIZ  kuizu
SHARE  shea
ACCESS  akusesu
ASIA  ajia
SAUSAGE  so-se-ji
TAXI  sakka-
TEA  tii
CD  shi-di-
CHEESE  chi-zu
ROLLERCOASTER   jetto ko-suta-
DESIGNER  dezaina-
TUNA  tsuna
NECKTIE  nekutai
NECK_TIE  nekutai
NECK-TIE  nekutai
NOTE  no-to
NOTEBOOK  no-to
NOTE-BOOK  no-to
NOTE_BOOK  no-to
CORNER  ko-na-
SNEAKER  sunni-ka-
COFFEE  ko-hi-
KNIFE  naifu
FORK  fo-ku
FASTFOOD  fasutofu-do
FAST_FOOD  fasutofu-do
FAST-FOOD  fasutofu-do
HEATER  hi-ta-
CUPCAKE  kappuke-ki
CUP_CAKE  kappuke-ki
CUP-CAKE  kappuke-ki
CAKE  ke-ki
CUP  kappu
AIR_CONDITIONER  eakon
AIRCONDITIONER  eakon
AIR-CONDITIONER  eakon
SUPER_MARKET  su-pa-
SUPER-MARKET  su-pa-
SUPERMARKET  su-pa-
PANDA  panda
PIANO  piano
POPCORN  poppuko-n
POP-CORN  poppuko-n
POP_CORN  poppuko-n
WEBPAGE  webupe-ji
WEB-PAGE  webupe-ji
WEB_PAGE  webupe-ji
WEBSITE  webusaito
WEB-SITE  webusaito
WEB_SITE  webusaito
MANGA  manga
MANGO  mango-
ANIME  anime
MEMO  memo
TOMATO  tomato
SMART PHONE  sumaho
SMARTPHONE  sumaho
SMART-PHONE  sumaho
RAMEN  ramen
HOTEL  hoteru
TV  terebi
TELEVISION  terebi
ZERO  zero
KANEKI  kaneki
TSUNAMI  tsunami
MCDONALD'S  makudonarudo
MCDONALDS  makudonarudo
MCDONALD  makudonarudo
GOOGLE  guuguru
KITKAT  kittokatto
KIT KAT  kittokatto
KIT-KAT  kittokatto
CREDITCARD  kurejittoka-do
CREDIT_CARD  kurejittoka-do
CREDIT-CARD  kurejittoka-do
RESTAURANT  resutoran
ICECREAM  aisukuri-mu
ICE_CREAM  aisukuri-mu
ICECREAM  aisukuri-mu
CAMERA  kamera
ORANGE  orinji
SHIRT  shatsu
MENU  menyu-
ORANGE_JUICE  orinjiju-su
ORANGEJUICE  orinjiju-su
ORANGE-JUICE  orinjiju-su
NEWS  nyu-su
MAYONNAISE  mayoneezu
KETCHUP  kechappu
chocolate
CHOCOLATE  chokore-to
CHOCOLATECAKE  chokore-toke-ki
CHOCOLATE_CAKE  chokore-toke-ki
CHOCOLATE-CAKE  chokore-toke-ki
TOWER  tawa-
SHOWER  shawa-
BLUE_LOCK  buru-rokku
BLUE-LOCK  buru-rokku
BLUELOCK  buru-rokku
AMMAR  ammaru
AMAR  ammaru
MOHAMMED  muhamidu
MUHAMMED  muhamidu
MUHAMED  muhamidu
MOHAMMED  muhamidu
AMR  amuru
AHMED ahimadu
OMAR  omaru
TUKA  toka
TUQA  toka
TOKA  toka
LEEN  ri-n
ARWA aruwa
NAYERA  nai-ra
NAIRA  nai-ra
MOSTAFA  mosutafa
MUSTAFA mosutafa
MAHMOUD mahimudo
MAHMOD  mahimudo
MAHMUD  mahimudo
KAMEL  kamiru
ANWAR  anwaru
IBRAHIM  iburahimu
